Time,Signal
48:52.0,1
48:52.1,0
48:52.1,1
48:52.1,0
48:52.1,1
48:52.1,0
48:52.2,1
48:52.2,0
48:52.2,1
48:52.2,0
48:52.3,1
48:52.3,0
48:52.3,0
48:52.3,1
48:52.3,0
48:52.4,1
48:52.4,0
48:52.4,1
48:52.4,0
48:52.4,1
48:52.5,0
48:52.5,1
48:52.5,0
48:52.5,0
48:52.5,1
48:52.6,0
48:52.6,1
48:52.6,0
48:52.6,1
48:52.6,0
48:52.7,1
48:52.7,0
48:52.7,1
48:52.7,0
48:52.8,1
48:52.8,1
48:52.8,0
48:52.8,1
48:52.8,0
48:52.9,1
48:52.9,0
48:52.9,1
48:52.9,0
48:52.9,1
48:53.0,0
48:53.0,1
48:53.0,0
48:53.0,1
48:53.1,0
48:53.1,0
48:53.1,1
48:53.1,0
48:53.1,1
48:53.2,0
48:53.2,1
48:53.2,0
48:53.2,1
48:53.2,0
48:53.3,1
48:53.3,0
48:53.3,0
48:53.3,1
48:53.3,0
48:53.4,1
48:53.4,0
48:53.4,1
48:53.4,0
48:53.5,1
48:53.5,0
48:53.5,1
48:53.5,0
48:53.5,1
48:53.6,1
48:53.6,0
48:53.6,1
48:53.6,0
48:53.6,1
48:53.7,0
48:53.7,1
48:53.7,0
48:53.7,1
48:53.8,0
48:53.8,1
48:53.8,0
48:53.8,1
48:53.8,0
48:53.9,0
48:53.9,1
48:53.9,0
48:53.9,1
48:53.9,0
48:54.0,1
48:54.0,0
48:54.0,1
48:54.0,0
48:54.1,1
48:54.1,0
48:54.1,0
48:54.1,1
48:54.1,0
48:54.2,1
48:54.2,0
48:54.2,1
48:54.2,0
48:54.2,1
48:54.3,0
48:54.3,1
48:54.3,0
48:54.3,1
48:54.4,1
48:54.4,0
48:54.4,1
48:54.4,0
48:54.4,1
48:54.5,0
48:54.5,1
48:54.5,0
48:54.5,1
48:54.5,0
48:54.6,1
48:54.6,0
48:54.6,1
48:54.6,0
48:54.6,0
48:54.7,1
48:54.7,0
48:54.7,1
48:54.7,0
48:54.8,1
48:54.8,0
48:54.8,1
48:54.8,0
48:54.8,1
48:54.9,0
48:54.9,0
48:54.9,1
48:54.9,0
48:54.9,1
48:55.0,0
48:55.0,1
48:55.0,0
48:55.0,1
48:55.1,0
48:55.1,1
48:55.1,0
48:55.1,1
48:55.1,1
48:55.2,0
48:55.2,1
48:55.2,0
48:55.2,1
48:55.3,0
48:55.3,1
48:55.3,0
48:55.3,1
48:55.3,0
48:55.4,1
48:55.4,0
48:55.4,1
48:55.4,0
48:55.5,0
48:55.5,1
48:55.5,0
48:55.5,1
48:55.5,0
48:55.6,1
48:55.6,0
48:55.6,1
48:55.6,0
48:55.7,1
48:55.7,0
48:55.7,0
48:55.7,1
48:55.7,0
48:55.8,1
48:55.8,0
48:55.8,1
48:55.8,0
48:55.9,1
48:55.9,0
48:55.9,1
48:55.9,0
48:56.0,1
48:56.0,1
48:56.0,0
49:01.0,1
49:01.1,0
49:01.1,1
49:01.1,0
49:01.1,1
49:01.2,0
49:01.2,1
49:01.2,0
49:01.2,1
49:01.2,0
49:01.3,1
49:01.3,0
49:01.3,0
49:01.3,1
49:01.4,0
49:01.4,1
49:01.4,0
49:01.4,1
49:01.4,0
49:01.5,1
49:01.5,0
49:01.5,1
49:01.5,0
49:01.6,0
49:01.6,1
49:01.6,0
49:01.6,1
49:01.6,0
49:01.7,1
49:01.7,0
49:01.7,1
49:01.7,0
49:01.8,1
49:01.8,0
49:01.8,1
49:01.8,1
49:01.8,0
49:01.9,1
49:01.9,0
49:01.9,1
49:01.9,0
49:01.9,1
49:02.0,0
49:02.0,1
49:02.0,0
49:02.0,1
49:02.1,0
49:02.1,1
49:02.1,0
49:02.1,0
49:02.2,1
49:02.2,0
49:02.2,1
49:02.2,0
49:02.2,1
49:02.3,0
49:02.3,1
49:02.3,0
49:02.3,1
49:02.3,0
49:02.4,0
49:02.4,1
49:02.4,0
49:02.4,1
49:02.4,0
49:02.5,1
49:02.5,0
49:02.5,1
49:02.5,0
49:02.6,1
49:02.6,0
49:02.6,1
49:02.6,1
49:02.6,0
49:02.7,1
49:02.7,0
49:02.7,1
49:02.7,0
49:02.8,1
49:02.8,0
49:02.8,1
49:02.8,0
49:02.9,1
49:02.9,0
49:02.9,1
49:02.9,0
49:02.9,0
49:03.0,1
49:03.0,0
49:03.0,1
49:03.0,0
49:03.1,1
49:03.1,0
49:03.1,1
49:03.1,0
49:03.2,1
49:03.2,0
49:03.2,0
49:03.2,1
49:03.3,0
49:03.3,1
49:03.3,0
49:03.3,1
49:03.3,0
49:03.4,1
49:03.4,0
49:03.4,1
49:03.4,0
49:03.4,1
49:03.5,1
49:03.5,0
49:03.5,1
49:03.5,0
49:03.6,1
49:03.6,0
49:03.6,1
49:03.6,0
49:03.6,1
49:03.7,0
49:03.7,1
49:03.7,0
49:03.7,1
49:03.8,0
49:03.8,0
49:03.8,1
49:03.8,0
49:03.9,1
49:03.9,0
49:03.9,1
49:03.9,0
49:04.0,1
49:04.0,0
49:04.0,1
49:04.0,0
49:04.1,0
49:04.1,1
49:04.1,0
49:04.1,1
49:04.1,0
49:04.2,1
49:04.2,0
49:04.2,1
49:04.2,0
49:04.3,1
49:04.3,0
49:04.3,1
49:04.3,1
49:04.4,0
49:04.4,1
49:04.4,0
49:04.4,1
49:04.4,0
49:04.5,1
49:04.5,0
49:04.5,1
49:04.5,0
49:04.6,1
49:04.6,0
49:04.6,1
49:04.6,0
49:04.6,0
49:04.7,1
49:04.7,0
49:04.7,1
49:04.7,0
49:04.7,1
49:04.8,0
49:04.8,1
49:04.8,0
49:04.8,1
49:04.9,0
49:04.9,0
49:04.9,1
49:04.9,0
49:04.9,1
49:05.0,0
49:05.0,1
49:05.0,0
49:10.0,1
49:10.1,0
49:10.1,1
49:10.1,0
49:10.1,1
49:10.2,0
49:10.2,1
49:10.2,0
49:10.2,1
49:10.2,0
49:10.3,1
49:10.3,0
49:10.3,0
49:10.3,1
49:10.4,0
49:10.4,1
49:10.4,0
49:10.4,1
49:10.4,0
49:10.5,1
49:10.5,0
49:10.5,1
49:10.5,0
49:10.6,0
49:10.6,1
49:10.6,0
49:10.6,1
49:10.6,0
49:10.7,1
49:10.7,0
49:10.7,1
49:10.7,0
49:10.7,1
49:10.8,0
49:10.8,1
49:10.8,1
49:10.8,0
49:10.9,1
49:10.9,0
49:10.9,1
49:10.9,0
49:10.9,1
49:11.0,0
49:11.0,1
49:11.0,0
49:11.0,1
49:11.1,0
49:11.1,1
49:11.1,0
49:11.1,0
49:11.1,1
49:11.2,0
49:11.2,1
49:11.2,0
49:11.2,1
49:11.3,0
49:11.3,1
49:11.3,0
49:11.3,1
49:11.3,0
49:11.4,0
49:11.4,1
49:11.4,0
49:11.4,1
49:11.4,0
49:11.5,1
49:11.5,0
49:11.5,1
49:11.5,0
49:11.6,1
49:11.6,0
49:11.6,1
49:11.6,1
49:11.7,0
49:11.7,1
49:11.7,0
49:11.7,1
49:11.8,0
49:11.8,1
49:11.8,0
49:11.8,1
49:11.8,0
49:11.9,1
49:11.9,0
49:11.9,1
49:11.9,0
49:12.0,0
49:12.0,1
49:12.0,0
49:12.0,1
49:12.0,0
49:12.1,1
49:12.1,0
49:12.1,1
49:12.1,0
49:12.2,1
49:12.2,0
49:12.2,0
49:12.2,1
49:12.3,0
49:12.3,1
49:12.3,0
49:12.3,1
49:12.3,0
49:12.4,1
49:12.4,0
49:12.4,1
49:12.4,0
49:12.5,1
49:12.5,1
49:12.5,0
49:12.5,1
49:12.6,0
49:12.6,1
49:12.6,0
49:12.6,1
49:12.7,0
49:12.7,1
49:12.7,0
49:12.7,1
49:12.7,0
49:12.8,1
49:12.8,0
49:12.8,0
49:12.8,1
49:12.9,0
49:12.9,1
49:12.9,0
49:12.9,1
49:12.9,0
49:13.0,1
49:13.0,0
49:13.0,1
49:13.0,0
49:13.0,0
49:13.1,1
49:13.1,0
49:13.1,1
49:13.1,0
49:13.2,1
49:13.2,0
49:13.2,1
49:13.2,0
49:13.3,1
49:13.3,0
49:13.3,1
49:13.3,1
49:13.4,0
49:13.4,1
49:13.4,0
49:13.4,1
49:13.4,0
49:13.5,1
49:13.5,0
49:13.5,1
49:13.5,0
49:13.6,1
49:13.6,0
49:13.6,1
49:13.6,0
49:13.6,0
49:13.7,1
49:13.7,0
49:13.7,1
49:13.7,0
49:13.8,1
49:13.8,0
49:13.8,1
49:13.8,0
49:13.8,1
49:13.9,0
49:13.9,0
49:13.9,1
49:13.9,0
49:13.9,1
49:14.0,0
49:14.0,1
49:14.0,0
49:14.0,1
49:19.1,1
49:19.1,0
49:19.1,1
49:19.1,0
49:19.1,1
49:19.2,0
49:19.2,1
49:19.2,0
49:19.2,1
49:19.3,0
49:19.3,1
49:19.3,0
49:19.3,0
49:19.3,1
49:19.4,0
49:19.4,1
49:19.4,0
49:19.4,1
49:19.5,0
49:19.5,1
49:19.5,0
49:19.5,1
49:19.6,0
49:19.6,0
49:19.6,1
49:19.6,0
49:19.7,1
49:19.7,0
49:19.7,1
49:19.7,0
49:19.7,1
49:19.8,0
49:19.8,1
49:19.8,0
49:19.8,1
49:19.8,1
49:19.9,0
49:19.9,1
49:19.9,0
49:19.9,1
49:19.9,0
49:20.0,1
49:20.0,0
49:20.0,1
49:20.0,0
49:20.1,1
49:20.1,0
49:20.1,1
49:20.1,0
49:20.1,0
49:20.2,1
49:20.2,0
49:20.2,1
49:20.2,0
49:20.2,1
49:20.3,0
49:20.3,1
49:20.3,0
49:20.3,1
49:20.4,0
49:20.4,0
49:20.4,1
49:20.4,0
49:20.4,1
49:20.5,0
49:20.5,1
49:20.5,0
49:20.5,1
49:20.6,0
49:20.6,1
49:20.6,0
49:20.6,1
49:20.7,1
49:20.7,0
49:20.7,1
49:20.7,0
49:20.7,1
49:20.8,0
49:20.8,1
49:20.8,0
49:20.8,1
49:20.8,0
49:20.9,1
49:20.9,0
49:20.9,1
49:20.9,0
49:21.0,0
49:21.0,1
49:21.0,0
49:21.0,1
49:21.1,0
49:21.1,1
49:21.1,0
49:21.1,1
49:21.1,0
49:21.2,1
49:21.2,0
49:21.2,0
49:21.2,1
49:21.2,0
49:21.3,1
49:21.3,0
49:21.3,1
49:21.3,0
49:21.4,1
49:21.4,0
49:21.4,1
49:21.4,0
49:21.4,1
49:21.5,1
49:21.5,0
49:21.5,1
49:21.5,0
49:21.6,1
49:21.6,0
49:21.6,1
49:21.6,0
49:21.6,1
49:21.7,0
49:21.7,1
49:21.7,0
49:21.7,1
49:21.8,0
49:21.8,0
49:21.8,1
49:21.8,0
49:21.8,1
49:21.9,0
49:21.9,1
49:21.9,0
49:21.9,1
49:21.9,0
49:22.0,1
49:22.0,0
49:22.0,0
49:22.0,1
49:22.1,0
49:22.1,1
49:22.1,0
49:22.1,1
49:22.1,0
49:22.2,1
49:22.2,0
49:22.2,1
49:22.2,0
49:22.3,1
49:22.3,1
49:22.3,0
49:22.3,1
49:22.4,0
49:22.4,1
49:22.4,0
49:22.4,1
49:22.4,0
49:22.5,1
49:22.5,0
49:22.5,1
49:22.5,0
49:22.6,1
49:22.6,0
49:22.6,0
49:22.6,1
49:22.6,0
49:22.7,1
49:22.7,0
49:22.7,1
49:22.7,0
49:22.7,1
49:22.8,0
49:22.8,1
49:22.8,0
49:22.8,0
49:22.8,1
49:22.9,0
49:22.9,1
49:22.9,0
49:22.9,1
49:22.9,0
49:23.0,1
49:23.0,0
49:23.0,1
49:23.0,0
49:23.1,1
49:28.1,1
49:28.1,0
49:28.1,1
49:28.1,0
49:28.2,1
49:28.2,0
49:28.2,1
49:28.2,0
49:28.3,1
49:28.3,0
49:28.3,1
49:28.3,0
49:28.3,0
49:28.4,1
49:28.4,0
49:28.4,1
49:28.4,0
49:28.4,1
49:28.5,0
49:28.5,1
49:28.5,0
49:28.5,1
49:28.6,0
49:28.6,0
49:28.6,1
49:28.6,0
49:28.6,1
49:28.7,0
49:28.7,1
49:28.7,0
49:28.7,1
49:28.8,0
49:28.8,1
49:28.8,0
49:28.8,1
49:28.8,1
49:28.9,0
49:28.9,1
49:28.9,0
49:28.9,1
49:28.9,0
49:29.0,1
49:29.0,0
49:29.0,1
49:29.0,0
49:29.1,1
49:29.1,0
49:29.1,1
49:29.1,0
49:29.1,0
49:29.2,1
49:29.2,0
49:29.2,1
49:29.2,0
49:29.3,1
49:29.3,0
49:29.3,1
49:29.3,0
49:29.4,1
49:29.4,0
49:29.4,0
49:29.4,1
49:29.5,0
49:29.5,1
49:29.5,0
49:29.5,1
49:29.5,0
49:29.6,1
49:29.6,0
49:29.6,1
49:29.6,0
49:29.6,1
49:29.7,1
49:29.7,0
49:29.7,1
49:29.7,0
49:29.8,1
49:29.8,0
49:29.8,1
49:29.8,0
49:29.9,1
49:29.9,0
49:29.9,1
49:29.9,0
49:29.9,1
49:30.0,0
49:30.0,0
49:30.0,1
49:30.0,0
49:30.0,1
49:30.1,0
49:30.1,1
49:30.1,0
49:30.1,1
49:30.1,0
49:30.2,1
49:30.2,0
