Time,Signal
2024-05-24 18:49:14.230249,1
2024-05-24 18:49:14.267313,1
2024-05-24 18:49:14.299096,1
2024-05-24 18:49:14.332416,0
2024-05-24 18:49:14.375865,0
2024-05-24 18:49:14.426083,1
2024-05-24 18:49:14.475458,1
2024-05-24 18:49:14.508554,0
2024-05-24 18:49:14.541521,0
2024-05-24 18:49:14.583110,1
2024-05-24 18:49:14.621211,1
2024-05-24 18:49:14.656438,0
2024-05-24 18:49:14.693267,0
2024-05-24 18:49:14.723543,1
2024-05-24 18:49:14.768269,1
2024-05-24 18:49:14.807656,0
2024-05-24 18:49:14.847221,0
2024-05-24 18:49:14.883485,0
2024-05-24 18:49:14.929886,1
2024-05-24 18:49:14.971681,1
2024-05-24 18:49:15.012114,0
2024-05-24 18:49:15.059836,0
2024-05-24 18:49:15.112337,1
2024-05-24 18:49:15.150970,1
2024-05-24 18:49:15.196388,0
2024-05-24 18:49:15.241505,0
2024-05-24 18:49:15.292609,1
2024-05-24 18:49:15.348564,1
2024-05-24 18:49:15.391600,0
2024-05-24 18:49:15.436922,0
2024-05-24 18:49:15.479825,1
2024-05-24 18:49:15.519277,1
2024-05-24 18:49:15.562519,0
2024-05-24 18:49:15.615723,0
2024-05-24 18:49:15.659949,0
2024-05-24 18:49:15.699536,1
2024-05-24 18:49:15.738307,1
2024-05-24 18:49:15.775809,0
2024-05-24 18:49:15.820898,0
2024-05-24 18:49:15.866049,1
2024-05-24 18:49:15.902923,1
2024-05-24 18:49:15.939511,0
2024-05-24 18:49:15.980428,0
2024-05-24 18:49:16.017509,1
2024-05-24 18:49:16.066842,1
2024-05-24 18:49:16.105880,0
2024-05-24 18:49:16.149988,0
2024-05-24 18:49:16.190473,1
2024-05-24 18:49:16.237086,1
2024-05-24 18:49:16.271609,1
2024-05-24 18:49:16.311399,0
2024-05-24 18:49:16.352590,0
2024-05-24 18:49:16.404224,1
2024-05-24 18:49:16.435543,1
2024-05-24 18:49:16.487382,0
2024-05-24 18:49:16.518277,0
2024-05-24 18:49:16.553773,1
2024-05-24 18:49:16.599555,1
2024-05-24 18:49:16.644730,1
2024-05-24 18:49:16.683675,0
2024-05-24 18:49:16.716135,0
2024-05-24 18:49:16.757694,1
2024-05-24 18:49:16.795880,1
2024-05-24 18:49:16.838840,0
2024-05-24 18:49:16.883925,0
2024-05-24 18:49:16.924088,1
2024-05-24 18:49:16.964839,1
