Time,Signal
2024-05-24 19:38:24.137677,1
2024-05-24 19:38:24.147470,1
2024-05-24 19:38:24.156172,1
2024-05-24 19:38:24.167111,1
2024-05-24 19:38:24.176440,1
2024-05-24 19:38:24.184578,1
2024-05-24 19:38:24.193195,0
2024-05-24 19:38:24.203520,0
2024-05-24 19:38:24.213953,0
2024-05-24 19:38:24.221915,0
2024-05-24 19:38:24.230801,0
2024-05-24 19:38:24.242588,1
2024-05-24 19:38:24.251197,1
2024-05-24 19:38:24.259552,1
2024-05-24 19:38:24.270302,1
2024-05-24 19:38:24.281053,1
2024-05-24 19:38:24.288763,0
2024-05-24 19:38:24.297409,0
2024-05-24 19:38:24.307236,0
2024-05-24 19:38:24.317965,0
2024-05-24 19:38:24.326014,0
2024-05-24 19:38:24.336799,1
2024-05-24 19:38:24.347035,1
2024-05-24 19:38:24.355291,1
2024-05-24 19:38:24.365605,1
2024-05-24 19:38:24.375505,1
2024-05-24 19:38:24.384579,0
2024-05-24 19:38:24.392515,0
2024-05-24 19:38:24.403345,0
2024-05-24 19:38:24.412640,0
2024-05-24 19:38:24.422119,0
2024-05-24 19:38:24.430754,1
2024-05-24 19:38:24.442937,1
2024-05-24 19:38:24.451538,1
2024-05-24 19:38:24.460143,1
2024-05-24 19:38:24.471372,1
2024-05-24 19:38:24.479997,0
2024-05-24 19:38:24.488976,0
2024-05-24 19:38:24.497237,0
2024-05-24 19:38:24.507349,0
2024-05-24 19:38:24.517735,0
2024-05-24 19:38:24.526205,1
2024-05-24 19:38:24.535531,1
2024-05-24 19:38:24.547354,1
2024-05-24 19:38:24.555233,1
2024-05-24 19:38:24.563681,1
2024-05-24 19:38:24.574823,0
2024-05-24 19:38:24.584521,0
2024-05-24 19:38:24.593090,0
2024-05-24 19:38:24.603822,0
2024-05-24 19:38:24.614200,0
2024-05-24 19:38:24.621342,1
2024-05-24 19:38:24.629888,1
2024-05-24 19:38:24.642420,1
2024-05-24 19:38:24.651429,1
2024-05-24 19:38:24.659441,1
2024-05-24 19:38:24.672728,0
2024-05-24 19:38:24.680711,0
2024-05-24 19:38:24.689296,0
2024-05-24 19:38:24.699399,0
2024-05-24 19:38:24.710155,0
2024-05-24 19:38:24.718672,1
2024-05-24 19:38:24.728423,1
2024-05-24 19:38:24.739066,1
2024-05-24 19:38:24.748662,1
2024-05-24 19:38:24.760410,1
2024-05-24 19:38:24.774900,1
2024-05-24 19:38:24.784598,0
2024-05-24 19:38:24.793132,0
2024-05-24 19:38:24.802956,0
2024-05-24 19:38:24.813989,0
2024-05-24 19:38:24.822001,0
2024-05-24 19:38:24.830747,1
2024-05-24 19:38:24.840560,1
2024-05-24 19:38:24.851547,1
2024-05-24 19:38:24.859541,1
2024-05-24 19:38:24.871431,1
2024-05-24 19:38:24.880533,0
2024-05-24 19:38:24.888352,0
2024-05-24 19:38:24.897042,0
2024-05-24 19:38:24.907118,0
2024-05-24 19:38:24.913765,0
