Time,Signal
2024-05-24 19:07:28.475227,1
2024-05-24 19:07:28.482861,1
2024-05-24 19:07:28.491284,1
2024-05-24 19:07:28.499433,0
2024-05-24 19:07:28.507686,0
2024-05-24 19:07:28.515014,1
2024-05-24 19:07:28.524215,1
2024-05-24 19:07:28.531701,1
2024-05-24 19:07:28.540879,0
2024-05-24 19:07:28.548780,0
2024-05-24 19:07:28.557449,1
2024-05-24 19:07:28.565806,1
2024-05-24 19:07:28.573689,0
2024-05-24 19:07:28.582029,0
2024-05-24 19:07:28.590733,0
2024-05-24 19:07:28.598425,1
2024-05-24 19:07:28.607356,1
2024-05-24 19:07:28.616473,0
2024-05-24 19:07:28.623398,0
2024-05-24 19:07:28.632014,1
2024-05-24 19:07:28.640484,1
2024-05-24 19:07:28.649311,1
2024-05-24 19:07:28.657695,0
2024-05-24 19:07:28.665465,0
2024-05-24 19:07:28.673773,1
2024-05-24 19:07:28.682215,1
2024-05-24 19:07:28.690183,0
2024-05-24 19:07:28.698709,0
2024-05-24 19:07:28.707518,0
2024-05-24 19:07:28.716439,1
2024-05-24 19:07:28.724448,1
2024-05-24 19:07:28.737510,0
2024-05-24 19:07:28.749493,0
2024-05-24 19:07:28.758397,1
2024-05-24 19:07:28.766377,1
2024-05-24 19:07:28.774924,1
2024-05-24 19:07:28.782886,0
2024-05-24 19:07:28.791462,0
2024-05-24 19:07:28.798841,1
2024-05-24 19:07:28.807708,1
2024-05-24 19:07:28.815962,0
2024-05-24 19:07:28.849797,0
2024-05-24 19:07:28.857578,0
2024-05-24 19:07:28.865876,1
2024-05-24 19:07:28.873842,1
2024-05-24 19:07:28.882480,0
2024-05-24 19:07:28.890339,0
2024-05-24 19:07:28.898388,1
2024-05-24 19:07:28.907747,1
2024-05-24 19:07:28.915796,1
2024-05-24 19:07:28.923187,0
2024-05-24 19:07:28.932673,0
2024-05-24 19:07:28.940371,1
2024-05-24 19:07:28.949394,1
2024-05-24 19:07:28.957604,0
2024-05-24 19:07:28.970213,0
2024-05-24 19:07:28.978534,0
2024-05-24 19:07:28.986630,1
2024-05-24 19:07:28.995131,1
2024-05-24 19:07:29.004222,0
2024-05-24 19:07:29.011432,0
2024-05-24 19:07:29.020111,1
2024-05-24 19:07:29.028451,1
2024-05-24 19:07:29.035809,1
